design_id,Efficiency,Massflow,Compression_ratio,Omega,P,CoordinateX_mean,CoordinateX_std,CoordinateX_min,CoordinateX_max,CoordinateX_p25,CoordinateX_p75,CoordinateX_skew,CoordinateX_kurt,CoordinateY_mean,CoordinateY_std,CoordinateY_min,CoordinateY_max,CoordinateY_p25,CoordinateY_p75,CoordinateY_skew,CoordinateY_kurt,CoordinateZ_mean,CoordinateZ_std,CoordinateZ_min,CoordinateZ_max,CoordinateZ_p25,CoordinateZ_p75,CoordinateZ_skew,CoordinateZ_kurt,NormalsX_mean,NormalsX_std,NormalsX_min,NormalsX_max,NormalsX_p25,NormalsX_p75,NormalsX_skew,NormalsX_kurt,NormalsY_mean,NormalsY_std,NormalsY_min,NormalsY_max,NormalsY_p25,NormalsY_p75,NormalsY_skew,NormalsY_kurt,NormalsZ_mean,NormalsZ_std,NormalsZ_min,NormalsZ_max,NormalsZ_p25,NormalsZ_p75,NormalsZ_skew,NormalsZ_kurt,Pressure_mean,Pressure_std,Pressure_min,Pressure_max,Pressure_p25,Pressure_p75,Pressure_skew,Pressure_kurt,Density_mean,Density_std,Density_min,Density_max,Density_p25,Density_p75,Density_skew,Density_kurt,Temperature_mean,Temperature_std,Temperature_min,Temperature_max,Temperature_p25,Temperature_p75,Temperature_skew,Temperature_kurt
1,0.9211068,19.676746,1.988627,1623.046199360876,358938.10429016984,0.019808301151476925,0.012894060691399832,-0.0016682724509710718,0.04426044949920764,0.007981793064270012,0.03190185576229903,0.1812250966782145,-1.2234549250681506,0.2206661136851896,0.028115508452132093,0.17610540981736736,0.2508573365074554,0.18876361201598302,0.24733662385816382,-0.3077865667227647,-1.629386115990926,-0.0012746113317311605,0.016634446236070067,-0.026894089017863422,0.025123674439534036,-0.01776440836562758,0.013509890932307558,-0.05483183750532179,-1.4485967981018895,0.03785455635307701,0.6331307754276205,-0.9968217166617085,0.9997721654372749,-0.5964635590480756,0.6485238624898743,-0.14705566672561207,-1.4176660258708984,0.3900215393934053,0.4219911898935691,-0.23125220383615377,0.9997355990861155,0.001120679069451858,0.8539079892958064,0.2567057543017088,-1.5511655389940333,-0.023053450541465084,0.5193314024343643,-0.9999236372837194,0.9987446766462783,-0.5206690632989397,0.4937838631716693,0.08985046575960093,-1.3370803249404775,107323.59319254261,32173.169980265,10493.735508394515,265943.74770914426,80478.15995921982,140643.63522265662,0.3846049416994204,1.0825737197148484,1.06946963298643,0.31387140498335264,0.10441793800145317,2.3744792597474995,0.7885040714046024,1.3480997603375624,0.2150727561150597,-0.32385009949496085,360.2254298092127,18.964242821224893,317.32138776677283,387.96130733500536,332.6732395099539,362.93630225026715,-0.10636346509149314,-1.3998988476722984
30,0.92100054,19.678022,1.9882089,1623.046199360876,358938.10429016984,0.019808301151476925,0.012894060691399832,-0.0016682724509710718,0.04426044949920764,0.007981793064270012,0.03190185576229903,0.1812250966782145,-1.2234549250681506,0.2206661136851896,0.028115508452132093,0.17610540981736736,0.2508573365074554,0.18876361201598302,0.24733662385816382,-0.3077865667227647,-1.629386115990926,-0.0012746113317311605,0.016634446236070067,-0.026894089017863422,0.025123674439534036,-0.01765428509525845,0.013509890932307558,-0.05483183750532179,-1.4485967981018895,0.03785455635307701,0.6331307754276205,-0.9968217166617085,0.9997721654372749,-0.5964635590480756,0.6485238624898743,-0.14705566672561207,-1.4176660258708984,0.3900215393934053,0.4219911898935691,-0.23125220383615377,0.9997355990861155,0.001120679069451858,0.8539079892958064,0.2567057543017088,-1.5511655389940333,-0.023053450541465084,0.5193314024343643,-0.9999236372837194,0.9987446766462783,-0.5206690632989397,0.4937838631716693,0.08985046575960093,-1.3370803249404775,107323.59319254261,32173.169980265,10493.735508394515,265943.74770914426,80478.15995921982,140643.63522265662,0.3846049416994204,1.0825737197148484,1.06946963298643,0.31387140498335264,0.10441793800145317,2.3744792597474995,0.7885040714046024,1.3480997603375624,0.2150727561150597,-0.32385009949496085,360.2254298092127,18.964242821224893,317.32138776677283,387.96130733500536,332.6732395099539,362.93630225026715,-0.10636346509149314,-1.3998988476722984
16,0.92072344,19.740908,1.991677,1623.046199360876,358938.1305735103,0.019808301151476925,0.012901356971857831,-0.0016680055597827002,0.04425420568402922,0.007985959125757074,0.031829949784117725,0.1812250966782145,-1.2234984080705857,0.2206684842985193,0.02811550049946072,0.17610607169274364,0.2508574398434016,0.18876554499614145,0.24733938457913865,-0.30778661146166514,-1.629386115990926,-0.001274626166321107,0.016628960926888665,-0.026894442627901596,0.0251234612666739,-0.01765428509525845,0.01351023542102329,-0.05483183750532179,-1.4485967981018895,0.037854362786822346,0.6331555521625114,-0.996821748822621,0.9998465703608989,-0.5954195081089495,0.6485368404969226,-0.14705566672561207,-1.4176660349533274,0.3900215393934053,0.4219911899095262,-0.23123666823066255,0.9997096509916186,0.001120679069451858,0.8539079892958064,0.2565183100122093,-1.5511655389940333,-0.023053450541465084,0.519254782742055,-0.9999065279544668,0.9987446644650475,-0.520518674370561,0.49377627311101097,0.08985046575960093,-1.336928584576477,107154.3318488873,32173.169980265,21420.86703387394,265943.74770914426,80478.15995921982,140643.63522265662,0.3846168420498708,1.0825363931086416,1.0705724346334866,0.3113168159421953,0.10448243434625723,2.3744792597474995,0.7885040714046024,1.3482824044311537,0.2150727561150597,-0.3267640291476799,360.2254298092127,18.964242821224893,317.32032470809924,387.96130733500536,332.87077520787,362.93536939100443,-0.10716381092406695,-1.396493185318993
80,0.9205349,19.746162,1.9918934,1623.046199360876,358938.10429016984,0.019808301151476925,0.012894060691399832,-0.0016680059973318013,0.04426044949920764,0.007985959125757074,0.03183566821963071,0.1812250966782145,-1.2234984080705857,0.2206661136851896,0.02811550049946072,0.17610605999323986,0.2508574398434016,0.18876361201598302,0.2473394511613377,-0.30778661146166514,-1.629386115990926,-0.0012746113317311605,0.01663724867694782,-0.02689370560495807,0.0251237319874642,-0.01765428509525845,0.013510241102219156,-0.05483183750532179,-1.4485967981018895,0.037844442413582376,0.6331555521625114,-0.996821748822621,0.9997760615596407,-0.5954495186765575,0.6485369988014795,-0.14705566672561207,-1.4176660258708984,0.3900215393934053,0.4219911898935691,-0.23125220383615377,0.9997096509916186,0.001120679069451858,0.8539079892958064,0.2567057543017088,-1.5511655389940333,-0.023053450541465084,0.5193314024343643,-0.9999063014589623,0.9987448595492884,-0.5192525478609019,0.4937838631716693,0.08985046575960093,-1.336928584576477,107330.83727161509,32173.169980265,21328.47709060523,265943.74770914426,80478.15995921982,140643.63522265662,0.3846049416994204,1.0825312967585627,1.06946963298643,0.3113168159421953,0.10441793800145317,2.3744792597474995,0.7885040714046024,1.3480997603375624,0.2150727561150597,-0.3267728132649355,360.2254298092127,18.964242821224893,317.31993632628473,387.96130733500536,332.87077520787,362.93536939100443,-0.10716381092406695,-1.3993814968381262
87,0.9202273,19.775375,1.9929012,1623.046199360876,358938.10429016984,0.019808301151476925,0.012894060691399832,-0.0016682744073710518,0.04425491279813411,0.007981793064270012,0.03190185576229903,0.1805694768231795,-1.2234549250681506,0.2206661136851896,0.028115508452132093,0.17610540981736736,0.2508573430858091,0.18876246510279954,0.24733662385816382,-0.3077865667227647,-1.6293861299851897,-0.0012746113317311605,0.016634446236070067,-0.026895907920287985,0.025123674439534036,-0.017779362138634656,0.013509890932307558,-0.05483183750532179,-1.4492340526316092,0.03785455635307701,0.6331307754276205,-0.9968217166617085,0.9997721654372749,-0.5974170504823666,0.6485240513657665,-0.1470485984124678,-1.4176660092909157,0.3900215393934053,0.4219911898935691,-0.24818738417042482,0.9997357305199899,0.001120679069451858,0.8539079892958064,0.2622845100478851,-1.5511655389940333,-0.023053450541465084,0.5193553661295022,-0.9999236372837194,0.9987573689173295,-0.5206690632989397,0.49371396455511213,0.07602909162539838,-1.3370803249404775,107323.59319254261,32173.178508699268,10559.935246164569,266074.6138934668,79718.38591989533,140643.63522265662,0.3846049416994204,1.0825737197148484,1.06946963298643,0.31387140498335264,0.10441793800145317,2.372272765078282,0.7885040714046024,1.3480997603375624,0.2150727561150597,-0.3592871487845609,360.2254298092127,19.076587708686194,317.32138776677283,387.96130733500536,332.6732395099539,362.93630225026715,-0.10636346509149314,-1.3998988476722984
77,0.9198736,19.785511,1.9908931,1623.0527578685915,358938.10429016984,0.019808301151476925,0.012894153436313166,-0.0016682724509710718,0.04425367710640879,0.007981917053606614,0.03190185576229903,0.18002976556473138,-1.2234549250681506,0.22066604092031053,0.028115508452132093,0.17610540981736736,0.25085737765946625,0.18876361201598302,0.24733662385816382,-0.30778720238690255,-1.629386115990926,-0.0012746113317311605,0.016481656113516843,-0.026888760253616115,0.025123674439534036,-0.01765715726389911,0.013509890932307558,-0.05483087711063236,-1.4488776969513806,0.03785455635307701,0.6331307754276205,-0.9968217165296582,0.9996505191909419,-0.5964635590480756,0.6485238624858987,-0.14705571256443267,-1.4176660258708984,0.3900215452805277,0.42199118990109774,-0.2312174628386341,0.9997147340452559,0.001120679069451858,0.8536589522002355,0.2667219460403593,-1.5511649645183905,-0.023053450541465084,0.5193069772662331,-0.9998532085343498,0.9987453070473981,-0.5206689720689599,0.4935116325471482,0.07480023437371713,-1.3370788475028133,107323.59319254261,32173.169980265,10493.735508394515,265580.1094478665,80474.75340125155,140643.63522265662,0.3846049416994204,1.0825737197148484,1.06946963298643,0.31387140498335264,0.10441793800145317,2.3744792597474995,0.7886400630937904,1.3480997603375624,0.2150727561150597,-0.32715926957446184,360.1868112949465,18.964242821224893,317.5192079300575,387.96130733500536,332.6732395099539,362.93628337729194,-0.10636346509149314,-1.406260405364865
12,0.9195638,19.81279,1.9930028,1622.6999679851642,358938.1309696189,0.019808301151476925,0.01290110867117827,-0.0016680024193731528,0.04425378285777189,0.007981903380217611,0.03190063857121559,0.18003542181687737,-1.2200806415063918,0.22066849590117601,0.02811195753960692,0.17610544428391803,0.2508552583976321,0.1887655898123901,0.24733662385816382,-0.30777209840122166,-1.6293500883137144,-0.0012745614780186748,0.016483294257558356,-0.026893872048195374,0.025116323787793,-0.01765707395638343,0.013520695321346012,-0.05343182097821792,-1.448878708756623,0.0378540557572022,0.6331317470273928,-0.9968206710048911,0.9989202352470608,-0.5962619713172097,0.6485238623843962,-0.14707150167520935,-1.4176669380776494,0.3900210624214053,0.42199285948793536,-0.23083405507286373,0.9997145595429814,0.0011241478707083195,0.8560896891222984,0.2655995230361559,-1.5511649918255832,-0.02310518352725479,0.5192638691996053,-0.9998530413662429,0.9987426494833512,-0.5206673773598247,0.4935146851730046,0.07489796764690837,-1.337080482486381,107155.75229569983,32174.518041448264,10227.242946825676,265948.5247345996,78597.32082156959,140643.63522265662,0.3841746934996393,1.082885744593876,1.0816717774940554,0.3138607769626294,0.10447286738303467,2.3742992599218296,0.7850732352037014,1.3442078953075556,0.21503845740661415,-0.32711648769296536,359.7353963065095,18.958681961646693,317.50255769037784,388.6121620470956,332.6324442353985,362.9362845626861,-0.10727190034556577,-1.4064951249250206
3,0.9189698,19.842293,1.9943489,1622.6999679851642,358938.1309696189,0.019808622813481322,0.01290110867117827,-0.0016680024193731528,0.044256108581379155,0.007982006267650731,0.03190056709065231,0.1800288952741805,-1.2200806415063918,0.22066849590117601,0.02811195753960692,0.17610544428391803,0.2508554405062905,0.1887655898123901,0.24733964056232305,-0.3077726402104055,-1.6293500883137144,-0.0012745663691200843,0.016504675399707746,-0.026893872048195374,0.025116323787793,-0.01765707395638343,0.013520695321346012,-0.05343182097821792,-1.447922907723068,0.03785586282884756,0.6331317470273928,-0.996820969174208,0.9989374999295398,-0.6026506877456029,0.6485238623843962,-0.14707150167520935,-1.4173960494234843,0.3900210624214053,0.42199285948793536,-0.2310395549828929,0.9997407449718599,0.0011241478707083195,0.8560896891222984,0.2622301842441169,-1.5511649918255832,-0.02324212294861564,0.5192638691996053,-0.9998530413662429,0.9987559297928013,-0.5199918444782003,0.493714940570418,0.07489796764690837,-1.337080482486381,107155.75229569983,32170.232077930028,10227.242946825676,265989.33986795926,78597.32082156959,140643.63522265662,0.3841746934996393,1.082885744593876,1.0699299893185101,0.31386072584394586,0.10447286738303467,2.3742592422953104,0.7850732352037014,1.3442065849748004,0.21503845740661415,-0.3279938339950461,359.7353963065095,18.958681961646693,317.4765350169873,388.62299284029115,332.6324442353985,362.9362845626861,-0.10714050812534273,-1.4064951249250206
17,0.9186154,19.894928,1.9970057,1622.6999679851642,358938.1309696189,0.01980780649239793,0.012901145698729763,-0.0016680018214503278,0.04425371302569043,0.007981903380217611,0.03190167397260693,0.18004514171097283,-1.2200696890489036,0.22066849590117601,0.028112236330039477,0.17610544428391803,0.2508552583976321,0.1887655898123901,0.24734184748885774,-0.30780251090557853,-1.6293500883137144,-0.001274747170029405,0.016481793034179546,-0.026893319219718843,0.025119910937601218,-0.01771940704834158,0.013520181377738548,-0.05343182097821792,-1.448878708756623,0.037854335327714775,0.6331317470273928,-0.9968206710048911,0.9988911221662694,-0.5962619713172097,0.6485238571059158,-0.14707150167520935,-1.4176669380776494,0.3900210624214053,0.42199285948793536,-0.23083405507286373,0.9997145595429814,0.0012694832793053122,0.8560896891222984,0.2655995230361559,-1.5509088876181623,-0.023100489687873486,0.5197830207247202,-0.9998550507132343,0.9987426494833512,-0.5206673773598247,0.49351736014660275,0.07489796764690837,-1.337080482486381,107155.75229569983,32174.41910163779,21014.144472191205,265948.5247345996,78597.32082156959,140643.63522265662,0.3841746934996393,1.082885744593876,1.0816717774940554,0.3138607769626294,0.10447283957211492,2.3742992599218296,0.7851399646918877,1.343202102601041,0.21503849702283126,-0.32708184076651736,359.7353963065095,18.958681961646693,317.50255769037784,388.6210333380067,332.6324442353985,362.9362845626861,-0.107135406450645,-1.4068067130371693
44,0.9181442,19.936491,1.9987601,1620.7934786759208,358944.1970397878,0.0197825054345881,0.012901114361891121,-0.0016699731161762435,0.04425399919171822,0.007981590116315914,0.03190185576229903,0.17997376998187564,-1.2200588976767488,0.22066604092031053,0.02811062116969367,0.17610608866607974,0.2508554037234038,0.18876443834912926,0.2474475413231597,-0.3078016182018136,-1.6293940827516686,-0.0012750762848776028,0.016651795733223788,-0.02689450454000408,0.025119400264119858,-0.01765409278474838,0.013535739669932517,-0.05353093656085874,-1.449285709644749,0.03785444668079554,0.6331522515307213,-0.9968204344815148,0.9999222976798294,-0.6026013140185259,0.6485239482378643,-0.1469902529527869,-1.4176660258708984,0.39003939126283654,0.42205564111590627,-0.2312202678250371,0.9997413655877098,0.001120679069451858,0.8538237732550282,0.2667218937559474,-1.5512588356434214,-0.023053585073869107,0.5193069772662331,-0.9999220117517095,0.9987445240875309,-0.521280387041795,0.4937567051671734,0.06979119670226606,-1.3370802402370374,107155.56034651776,32173.592343113454,22139.14102939326,265580.1040734759,80088.35072473905,140343.9303424878,0.3966599633278515,1.078243484534594,1.0694082864304133,0.310807820710048,0.10437296305145524,2.3723608962106506,0.7856633536895646,1.3487234875590963,0.21504275971013195,-0.3674678404382429,359.7774710645891,19.245783554861074,317.9061682981387,387.6802776355735,333.6694099588362,363.6012738103912,-0.10713668917432477,-1.4003772208760712
